,State,Year,Quater,Disrict,Reg_users
34022,east jaintia hills district,2020,2,east jaintia hills district,9695
34023,south west garo hills district,2020,2,south west garo hills district,4266
34024,east khasi hills district,2020,2,east khasi hills district,57322
34025,east garo hills district,2020,2,east garo hills district,4132
34026,ribhoi district,2020,2,ribhoi district,13550
34027,west jaintia hills district,2020,2,west jaintia hills district,5717
34028,west khasi hills district,2020,2,west khasi hills district,3195
34029,north garo hills district,2020,2,north garo hills district,4318
34030,south west khasi hills district,2020,2,south west khasi hills district,934
34031,west garo hills district,2020,2,west garo hills district,29492
34032,south garo hills district,2020,2,south garo hills district,3590
34033,east jaintia hills district,2020,2,east jaintia hills district,9695
34034,south west garo hills district,2020,2,south west garo hills district,4266
34035,east khasi hills district,2020,2,east khasi hills district,57322
34036,east garo hills district,2020,2,east garo hills district,4132
34037,ribhoi district,2020,2,ribhoi district,13550
34038,west jaintia hills district,2020,2,west jaintia hills district,5717
34039,west khasi hills district,2020,2,west khasi hills district,3195
34040,north garo hills district,2020,3,north garo hills district,5242
34041,south west khasi hills district,2020,3,south west khasi hills district,1169
34042,west garo hills district,2020,3,west garo hills district,34201
34043,south garo hills district,2020,3,south garo hills district,4370
34044,east jaintia hills district,2020,3,east jaintia hills district,11084
34045,south west garo hills district,2020,3,south west garo hills district,5082
34046,east khasi hills district,2020,3,east khasi hills district,65268
34047,east garo hills district,2020,3,east garo hills district,5002
34048,ribhoi district,2020,3,ribhoi district,15427
34049,west jaintia hills district,2020,3,west jaintia hills district,6997
34050,west khasi hills district,2020,3,west khasi hills district,3899
34051,north garo hills district,2020,3,north garo hills district,5242
34052,south west khasi hills district,2020,3,south west khasi hills district,1169
34053,west garo hills district,2020,3,west garo hills district,34201
34054,south garo hills district,2020,3,south garo hills district,4370
34055,east jaintia hills district,2020,3,east jaintia hills district,11084
34056,south west garo hills district,2020,3,south west garo hills district,5082
34057,east khasi hills district,2020,3,east khasi hills district,65268
34058,east garo hills district,2020,3,east garo hills district,5002
34059,ribhoi district,2020,3,ribhoi district,15427
34060,west jaintia hills district,2020,3,west jaintia hills district,6997
34061,west khasi hills district,2020,3,west khasi hills district,3899
34062,north garo hills district,2020,3,north garo hills district,5242
34063,south west khasi hills district,2020,3,south west khasi hills district,1169
34064,west garo hills district,2020,3,west garo hills district,34201
34065,south garo hills district,2020,3,south garo hills district,4370
34066,east jaintia hills district,2020,3,east jaintia hills district,11084
34067,south west garo hills district,2020,3,south west garo hills district,5082
34068,east khasi hills district,2020,3,east khasi hills district,65268
34069,east garo hills district,2020,3,east garo hills district,5002
34070,ribhoi district,2020,3,ribhoi district,15427
34071,west jaintia hills district,2020,3,west jaintia hills district,6997
34072,west khasi hills district,2020,3,west khasi hills district,3899
34073,north garo hills district,2020,3,north garo hills district,5242
34074,south west khasi hills district,2020,3,south west khasi hills district,1169
34075,west garo hills district,2020,3,west garo hills district,34201
34076,south garo hills district,2020,3,south garo hills district,4370
34077,east jaintia hills district,2020,3,east jaintia hills district,11084
34078,south west garo hills district,2020,3,south west garo hills district,5082
34079,east khasi hills district,2020,3,east khasi hills district,65268
34080,east garo hills district,2020,3,east garo hills district,5002
34081,ribhoi district,2020,3,ribhoi district,15427
34082,west jaintia hills district,2020,3,west jaintia hills district,6997
34083,west khasi hills district,2020,3,west khasi hills district,3899
34084,north garo hills district,2020,4,north garo hills district,5914
34085,south west khasi hills district,2020,4,south west khasi hills district,1364
34086,west garo hills district,2020,4,west garo hills district,37988
34087,south garo hills district,2020,4,south garo hills district,5006
34088,east jaintia hills district,2020,4,east jaintia hills district,12337
34089,south west garo hills district,2020,4,south west garo hills district,5772
34090,east khasi hills district,2020,4,east khasi hills district,72639
34091,east garo hills district,2020,4,east garo hills district,5777
34092,ribhoi district,2020,4,ribhoi district,17198
34093,west jaintia hills district,2020,4,west jaintia hills district,7968
34094,west khasi hills district,2020,4,west khasi hills district,4484
34095,north garo hills district,2020,4,north garo hills district,5914
34096,south west khasi hills district,2020,4,south west khasi hills district,1364
34097,west garo hills district,2020,4,west garo hills district,37988
34098,south garo hills district,2020,4,south garo hills district,5006
34099,east jaintia hills district,2020,4,east jaintia hills district,12337
34100,south west garo hills district,2020,4,south west garo hills district,5772
34101,east khasi hills district,2020,4,east khasi hills district,72639
34102,east garo hills district,2020,4,east garo hills district,5777
34103,ribhoi district,2020,4,ribhoi district,17198
34104,west jaintia hills district,2020,4,west jaintia hills district,7968
34105,west khasi hills district,2020,4,west khasi hills district,4484
34106,north garo hills district,2020,4,north garo hills district,5914
34107,south west khasi hills district,2020,4,south west khasi hills district,1364
34108,west garo hills district,2020,4,west garo hills district,37988
34109,south garo hills district,2020,4,south garo hills district,5006
34110,east jaintia hills district,2020,4,east jaintia hills district,12337
34111,south west garo hills district,2020,4,south west garo hills district,5772
34112,east khasi hills district,2020,4,east khasi hills district,72639
34113,east garo hills district,2020,4,east garo hills district,5777
