,State,Year,Quater,Disrict,Reg_users
34425,north garo hills district,2022,3,north garo hills district,9773
34426,south west khasi hills district,2022,3,south west khasi hills district,2308
34427,west garo hills district,2022,3,west garo hills district,61273
34428,south garo hills district,2022,3,south garo hills district,8265
34429,east jaintia hills district,2022,3,east jaintia hills district,20320
34430,south west garo hills district,2022,3,south west garo hills district,9735
34431,east khasi hills district,2022,3,east khasi hills district,113816
34432,east garo hills district,2022,3,east garo hills district,9484
34433,ribhoi district,2022,3,ribhoi district,27844
34434,west jaintia hills district,2022,3,west jaintia hills district,13176
34435,west khasi hills district,2022,3,west khasi hills district,7493
34436,north garo hills district,2022,4,north garo hills district,10145
34437,south west khasi hills district,2022,4,south west khasi hills district,2366
34438,west garo hills district,2022,4,west garo hills district,63792
